id;material_name;short_name;chemical_formula;hsn_no;bar_code;qr_code;gst_percentage;material_image;alert_units;cas_number;catlog_number;description;last_modified;last_modified_by;free_field_1;free_field_2;free_field_3;free_field_4;is_deleted;is_active
1;Handcrafted Ergonomic CSS;Borders invoice Metrics;Puerto Direct Brazil;Computers cultivate;e-business Implementation Account;Harbors full-range;87437;mobile Norway Keyboard;bypass base;Euro capacitor Turnpike;heuristic;Refined Mount;2022-02-06T22:23:07;Savings;Lari Plastic;interfaces primary vertical;Advanced Global;Beauty envisioneer withdrawal;true;true
2;Buckinghamshire;lime bricks-and-clicks Malaysia;Row bifurcated benchmark;Chicken Grocery;hack Security Chief;Cotton Personal invoice;68114;turn-key;state Wooden;hack CSS edge;Rubber Garden Cambridgeshire;e-enable;2022-02-06T20:29:40;model green;Frozen;driver invoice Tasty;hour;TCP;true;true
3;Indonesia Brand;impactful Account Ergonomic;Towels;calculating pixel generate;Practical parse;Dollar Soft;29446;RAM;Forward matrix Kids;Concrete Kids;initiative;envisioneer yellow parse;2022-02-06T14:20:03;Frozen Buckinghamshire lavender;content;Up-sized;Group Tools;Fantastic Cross-platform;true;false
4;challenge lavender;Intelligent;XSS;Streamlined;Dynamic green;Synergistic Mali well-modulated;58926;Streets port moderator;Gloves;envisioneer;Mouse visionary bi-directional;Buckinghamshire B2B;2022-02-06T18:16:14;compressing invoice;Bike Optimization;Mobility Account Books;Soft quantify TCP;Chicken Berkshire up;false;true
5;whiteboard;HDD;copy;Refined Arizona;web-enabled mobile;Salvador Isle;44183;Shoes Hill;Analyst;B2C Granite base;protocol navigating;e-tailers Reverse-engineered;2022-02-07T04:06:07;e-markets drive;open-source (Slovak;Soft;Gorgeous virtual forecast;Bedfordshire leverage;false;true
6;Louisiana;open-source calculate;Maine South;Buckinghamshire Managed one-to-one;web-enabled;Focused override;5908;Lempira Views Garden;Product;Legacy Plastic Cheese;Small;Wall;2022-02-06T19:31:57;Planner;Rubber olive;Mouse;Integration markets;Interactions bandwidth;true;false
7;deposit;applications Exclusive;silver mobile;HTTP;synthesizing;Kids benchmark Miquelon;2466;engage;panel Fantastic circuit;visionary;capacitor;infomediaries TCP;2022-02-06T11:57:56;Developer Tuna;exploit Home Internal;Cedi;Garden Indiana;firewall;true;false
8;sticky tan blue;synthesize National;Music parsing blue;encompassing hacking Program;application Frozen;solution Officer transmitter;41163;Berkshire Gateway;evolve;port Account primary;connect connect;enhance;2022-02-06T10:25:52;Money Guinea-Bissau;transmit Quality Ports;Iowa bleeding-edge compress;e-enable end-to-end;Montserrat payment markets;false;false
9;bleeding-edge content Steel;Fantastic;magenta Skyway Indonesia;Handmade;Books Cambridgeshire Centers;Tuna Manager;85986;back-end holistic portals;Avon;Marketing frictionless metrics;matrix;Legacy indexing;2022-02-06T11:01:38;payment;Maryland;Salad pixel wireless;fuchsia;function Planner AGP;true;false
10;Berkshire front-end infrastructures;Buckinghamshire;Manager;Outlying;Hat Representative;Savings Haven next;38871;Senior;neural;Garden;relationships bypass;architect Alaska Group;2022-02-07T05:33:42;one-to-one program;optical Manager multi-byte;Estate Pike;maximized;payment hack Washington;false;true
