id;inward_outward_date;inward_qty;outward_qty;total_quanity;price_per_unit;lot_no;expiry_date;free_field_1;free_field_2;free_field_3;free_field_4;last_modified;last_modified_by;is_deleted;is_active
1;2022-02-07T03:32:02;1080p niches conglomeration;white Maine District;Mountains;67008;quantify;2022-02-06T20:58:30;quantifying Creative transform;Somalia Netherlands homogeneous;teal Shoes calculate;Handcrafted Pound;2022-02-06T05:53:29;generating;true;false
2;2022-02-06T08:50:56;Pierre Handcrafted;protocol;Granite;34638;Soft;2022-02-06T20:22:27;deliver Licensed;Books Buckinghamshire;dedicated redundant Borders;Turkish;2022-02-06T16:55:17;SDD Tobago;false;true
3;2022-02-06T14:03:00;innovative Ergonomic;Plaza Bulgaria;mission-critical National;10464;Investment Loan Indiana;2022-02-06T19:45:10;Parkway USB;AI disintermediate;Jewelery Program violet;Tactics Rhode Industrial;2022-02-06T07:46:47;alarm Investor;true;true
4;2022-02-06T08:03:49;Chief Cambridgeshire;Investor invoice sensor;Missouri Chief Marketing;79372;Panama protocol parsing;2022-02-06T13:40:39;Agent pink Small;Executive;alarm;end-to-end;2022-02-06T17:21:27;transmitter sensor array;false;true
5;2022-02-06T18:05:03;Internal deposit;Hat Krona;systemic invoice;8424;online Account Internal;2022-02-07T02:36:46;Awesome primary;Agent Designer USB;grow engage;District Designer Kroon;2022-02-06T09:50:38;Tasty Legacy;false;true
6;2022-02-06T05:59:21;systems;calculate Wall monitor;feed;53962;Bedfordshire;2022-02-07T04:40:14;Generic;Outdoors Toys violet;Fields virtual Ergonomic;visualize Product;2022-02-06T22:56:10;hacking payment deposit;true;false
7;2022-02-07T03:04:46;ADP hybrid;Assurance;enterprise;20044;wireless Practical virtual;2022-02-06T08:45:31;Metal Iranian;streamline dynamic Hampshire;International;web-readiness Salad Berkshire;2022-02-06T22:43:37;Guinea-Bissau Chips bluetooth;true;true
8;2022-02-06T23:34:48;Berkshire Plaza Direct;bluetooth;Barbados quantify Ports;38712;administration;2022-02-06T21:47:08;schemas Shore Administrator;Phased;state;mobile;2022-02-06T12:55:54;Montana withdrawal Jewelery;true;false
9;2022-02-06T17:58:40;Cape Libyan withdrawal;Oregon;discrete;69279;Manager Wooden ivory;2022-02-06T12:11:54;Arkansas Up-sized firewall;Avon methodologies Assurance;Lakes;Wooden;2022-02-06T14:32:42;Central hacking optimize;false;true
10;2022-02-06T22:36:14;deliver generate;withdrawal;Squares Berkshire Arizona;41512;state solution-oriented lime;2022-02-06T14:04:09;Port Cheese Sleek;Diverse;Digitized pink;back (Malvinas);2022-02-06T10:28:49;Fully-configurable Shirt Orchestrator;true;false
