id;total_po_amount;total_gst_amount;expected_delivery_date;po_date;order_status;last_modified;last_modified_by;free_field_1;free_field_2;free_field_3;free_field_4
1;20270;66341;2022-02-06T08:05:38;2022-02-06T17:24:37;COMPLETED;2022-02-06T14:27:25;Directives reciprocal Soft;Security Baby;parsing Tools;HDD;neural Sheqel
2;12245;94032;2022-02-06T17:17:13;2022-02-06T21:30:16;COMPLETED;2022-02-07T05:38:02;HTTP digital;deposit Tools;matrix Implementation;Legacy tangible;up copying
3;12735;50464;2022-02-06T07:52:01;2022-02-07T02:50:06;APPROVED;2022-02-06T19:59:24;Dakota Berkshire Pennsylvania;Vision-oriented;transition Ford;Industrial;methodologies
4;91689;54025;2022-02-06T19:13:32;2022-02-06T11:33:15;REQUESTED;2022-02-06T16:38:36;Manager solid Markets;Configuration;indexing Ethiopian Legacy;redefine bricks-and-clicks;Generic Skyway
5;96867;61543;2022-02-07T04:10:55;2022-02-06T16:34:41;RECEIVED;2022-02-06T10:48:18;ivory bypass;Triple-buffered Lithuania;Iranian Chief;copying Handmade;maximize turquoise
6;30870;16055;2022-02-06T14:14:48;2022-02-06T10:44:55;CANCELED;2022-02-06T08:46:00;protocol;methodologies;holistic Credit Horizontal;metrics index;Darussalam ivory compressing
7;50155;22180;2022-02-06T09:09:07;2022-02-07T00:15:40;APPROVED;2022-02-06T16:54:43;THX Pizza;Refined Group;Awesome application Wooden;Developer;executive Money
8;71951;45161;2022-02-06T14:38:09;2022-02-07T01:23:51;REQUESTED;2022-02-06T16:34:32;infrastructure;tan;Avon background transmitting;Awesome feed Squares;Granite Executive
9;21161;96572;2022-02-07T05:38:23;2022-02-06T22:05:04;RECEIVED;2022-02-06T17:47:18;Locks hour Ohio;implementation Mountain;Account;Personal invoice payment;bandwidth
10;74287;98491;2022-02-07T02:01:36;2022-02-07T02:29:43;RECEIVED;2022-02-06T12:45:47;Robust Sports Concrete;Toys models implementation;JBOD Books;real-time invoice parse;Niger District
