id;category_name;category_description;free_field_1;free_field_2;last_modified;last_modified_by;is_deleted;is_active
1;Rubber;1080p Handmade;groupware Nigeria Optimized;background Functionality;2022-02-06T20:31:46;Concrete software Mexico;false;false
2;model;calculating seize neural;Multi-lateral Yemeni;Account;2022-02-06T12:35:04;Saint;true;true
3;FTP blue;Car;Serbia initiatives Benin;Intelligent haptic Fall;2022-02-06T22:34:18;Integration Tasty feed;false;true
4;Beauty;Oregon 24/7;Keyboard South discrete;New indexing;2022-02-06T05:49:20;Kansas;true;false
5;Plaza;Bedfordshire Graphical;Berkshire;Organic Alabama;2022-02-06T21:52:36;back-end Strategist Unbranded;true;false
6;revolutionize;monitoring;dedicated;knowledge;2022-02-07T02:21:46;payment;false;true
7;Bouvet Concrete;Money Orchard digital;web-enabled indexing sexy;Plastic;2022-02-07T01:24:14;Oman EXE;true;false
8;Small;Mongolia;Home;Principal overriding communities;2022-02-06T16:19:13;alarm auxiliary;false;false
9;leading-edge;Handcrafted capability;Illinois;New;2022-02-06T18:39:06;visualize;true;true
10;synergize navigating;HTTP;input;Soft;2022-02-06T13:30:06;monitoring function;true;true
