id;transfer_date;transfer_id;qty_transfered;qty_received;comment;free_field_1;free_field_2;last_modified;last_modified_by;is_deleted;is_active
1;2022-02-06T16:34:47;93555;56090;49907;District SDR;contextually-based Plaza;interface;2022-02-06T08:17:29;Multi-tiered bandwidth cyan;false;true
2;2022-02-07T03:13:04;67749;80080;6886;experiences;hack France;uniform Towels Rustic;2022-02-07T03:58:58;innovate parse;true;true
3;2022-02-07T02:42:32;11206;18168;35108;Zimbabwe Island Colorado;optical Avon;uniform grid-enabled;2022-02-06T08:07:39;pixel Pants;false;true
4;2022-02-06T09:30:12;98736;154;3717;Point;calculating;connecting;2022-02-06T15:00:28;Dobra;true;false
5;2022-02-06T08:55:20;72748;80494;39479;Tasty;overriding Chips;and Borders Multi-channelled;2022-02-06T08:25:26;Branding engine Garden;true;true
6;2022-02-06T20:48:23;73131;36701;88329;Avon Account;Borders Assimilated Mouse;seize index withdrawal;2022-02-07T05:43:14;cohesive AI;false;true
7;2022-02-06T08:21:08;26744;57667;13287;Flat Agent;Mexico models Cheese;Knolls Lead New;2022-02-06T14:15:46;killer lime;true;false
8;2022-02-06T15:47:18;8098;63597;76997;Administrator Rubber;Bahraini Berkshire backing;Supervisor;2022-02-06T11:33:31;Dollar Investment generating;true;true
9;2022-02-06T21:09:23;10149;67195;73736;24/7;Hat Home mesh;Planner Glen;2022-02-06T21:06:00;Account;true;false
10;2022-02-06T21:36:48;51976;98367;90751;Infrastructure plum hacking;Internal;Brand multi-tasking;2022-02-06T06:38:44;synthesize;false;false
