id;approval_date;transfer_id;qty_requested;qty_approved;comment;free_field_1;free_field_2;last_modified;last_modified_by;is_deleted;is_active
1;2022-02-06T19:28:54;2217;29847;68949;Granite Auto;edge;Product Arkansas;2022-02-07T00:17:47;open-source;false;true
2;2022-02-06T06:43:26;96097;73054;97095;Licensed;Ergonomic synthesizing;primary;2022-02-06T10:21:20;Fresh Vista Fresh;false;true
3;2022-02-06T11:54:08;63831;56033;75019;partnerships conglomeration withdrawal;International;matrix Coordinator back-end;2022-02-07T03:03:20;Bedfordshire;false;true
4;2022-02-07T02:32:11;87343;22259;95718;indexing Accountability;Kong Future Greenland;User-friendly;2022-02-06T10:03:25;systemic Forward;true;true
5;2022-02-06T11:41:08;62377;95481;31765;edge Infrastructure Coordinator;Ranch;Guam invoice Avon;2022-02-07T03:41:44;intuitive;false;false
6;2022-02-06T19:46:06;26369;67581;83776;sexy;expedite Unit;bluetooth asymmetric;2022-02-07T03:39:17;optical;true;true
7;2022-02-06T06:28:25;13098;93860;27451;override THX deposit;pink Creative;high-level;2022-02-07T01:20:16;Account;false;true
8;2022-02-06T16:52:57;51195;20147;19966;JBOD;program;Associate Extended services;2022-02-06T08:16:21;Granite Buckinghamshire Ergonomic;true;false
9;2022-02-06T11:41:33;78097;139;93301;Factors Forges;Tactics Kuna parsing;payment;2022-02-07T02:24:35;copy index;false;false
10;2022-02-06T20:53:51;89324;76536;79919;Rubber;transmitter sensor;Cotton withdrawal;2022-02-06T06:19:01;Rubber Buckinghamshire;false;true
