id;inward_date;inward_qty;outward_qty;outward_date;total_quanity;price_per_unit;lot_no;expiry_date;free_field_1;free_field_2;free_field_3;free_field_4;last_modified;last_modified_by;is_deleted;is_active
1;2022-02-06T20:00:30;Bedfordshire Car PNG;Rubber deliverables;2022-02-06T14:18:39;Granite Wooden withdrawal;29480;deposit throughput Chips;2022-02-06T07:19:39;multi-state;Upgradable;Facilitator;deposit SMTP;2022-02-06T20:16:45;area;false;true
2;2022-02-06T09:36:59;Liaison;Island Denar;2022-02-06T21:51:49;payment;58022;task-force;2022-02-06T18:58:10;Baby green generate;systems users;Cloned bricks-and-clicks;Manager Wyoming 1080p;2022-02-06T21:16:06;South XSS;false;false
3;2022-02-06T17:28:25;generating Bosnia overriding;Analyst;2022-02-06T15:47:31;Indiana Legacy;79740;Computer redefine De-engineered;2022-02-06T21:36:46;deposit system-worthy Fantastic;Branding Baby;mission-critical;card Berkshire feed;2022-02-06T15:24:21;card Dollar Armenia;false;false
4;2022-02-07T04:20:21;Business-focused;generate solutions payment;2022-02-06T09:08:41;transmit program Tuna;86500;Unbranded Carolina;2022-02-07T03:50:17;Corporate;Lari;Iceland Square hack;calculating Southern;2022-02-06T09:08:17;back-end Qatari generation;true;true
5;2022-02-06T17:04:02;Hat Chips Fundamental;Sausages;2022-02-06T13:30:48;EXE;81224;vortals Developer leverage;2022-02-06T21:11:24;Burkina Chicken;Upgradable calculating bandwidth;Licensed Metal Groves;Generic Account;2022-02-06T20:43:50;back Administrator Orchestrator;true;true
6;2022-02-07T00:16:23;Cross-platform Handmade Oregon;Soft XML;2022-02-07T05:32:54;Movies red;16408;Frozen Executive turquoise;2022-02-06T09:41:20;grey SAS optical;Investor;Lead orchestration;International;2022-02-06T23:11:48;Agent Guarani Data;true;true
7;2022-02-06T08:05:43;Health strategize;(E.M.U.-6) calculating Hong;2022-02-07T03:15:57;to leading-edge SMTP;31442;Seychelles impactful;2022-02-06T05:56:41;Music;cohesive vortals;monetize Home;Kentucky synthesize;2022-02-06T20:58:19;web-enabled Unbranded Cheese;true;false
8;2022-02-06T09:35:50;sensor lime;Ouguiya;2022-02-07T00:12:26;SAS parsing grow;47639;Liberian Berkshire Steel;2022-02-06T07:06:25;software;program Mobility program;up national;Wooden Customer-focused;2022-02-06T15:45:38;Chips connect Jamaica;true;true
9;2022-02-07T01:55:06;intelligence;Drives;2022-02-06T13:59:09;driver Ball compressing;37316;quantify;2022-02-07T01:27:40;Square revolutionize Tools;Electronics;embrace open-source;Handmade Function-based Frozen;2022-02-06T21:32:22;stable middleware;true;true
10;2022-02-06T13:20:31;Curve application Tactics;channels product Cambridgeshire;2022-02-06T08:17:16;multi-state withdrawal;87125;indigo Kids Director;2022-02-06T06:50:12;payment lime;payment;Mouse Egypt;mesh;2022-02-06T22:28:26;systemic Fantastic dynamic;true;false
