id;qty_sold;price_per_unit;lot_number;expirydate;total_amount;gst_amount;description;last_modified;last_modified_by
1;18169;52851;payment;2022-02-06T17:10:36;26908;23310;reboot Focused;2022-02-06T14:33:38;Mews
2;93300;47619;input;2022-02-07T04:24:52;37832;1300;gold;2022-02-06T13:56:44;Carolina system
3;93570;29167;quantify Buckinghamshire Fully-configurable;2022-02-06T14:49:55;52532;50441;parse Jewelery Chad;2022-02-06T19:38:04;Hat Architect withdrawal
4;45736;80790;proactive Forward seamless;2022-02-07T04:54:39;32827;7477;primary;2022-02-06T13:42:39;Overpass aggregate
5;77220;21948;Engineer yellow cross-platform;2022-02-06T09:22:14;82174;38829;transmitter input;2022-02-07T02:44:59;hierarchy
6;51901;41414;Cheese;2022-02-06T12:05:35;27094;76353;Island Ohio;2022-02-06T10:34:12;withdrawal
7;98029;2048;generate;2022-02-07T03:01:49;88153;29029;facilitate;2022-02-06T11:28:05;Architect experiences Assistant
8;36688;47615;deposit Orchestrator;2022-02-06T09:22:24;11639;1582;Director;2022-02-06T23:38:46;budgetary
9;313;93647;feed Generic;2022-02-06T06:45:04;6427;61973;up;2022-02-06T08:12:39;Loan RAM
10;20585;63173;port generate;2022-02-06T22:29:51;54018;40741;Data Liaison;2022-02-06T20:40:49;Total Industrial Multi-layered
