id;approval_date;qty;comment;free_field_1;free_field_2;last_modified;last_modified_by;is_deleted;is_active
1;2022-02-06T23:59:39;13957;back Supervisor;(Malvinas) Concrete internet;indexing;2022-02-06T09:06:58;tangible;false;true
2;2022-02-06T12:46:16;84501;Cambridgeshire;Benin Georgia;Data back-end;2022-02-06T16:52:41;withdrawal Intelligent Industrial;true;false
3;2022-02-06T23:07:09;15615;SSL Towels;systemic Functionality orchid;Kids connecting;2022-02-06T21:32:02;Personal;false;false
4;2022-02-06T11:17:01;62592;Argentina;Small XML Global;Soft markets Implementation;2022-02-07T02:59:06;navigating Communications quantify;false;true
5;2022-02-06T06:06:13;78290;Arkansas Outdoors;system Cordoba;Functionality;2022-02-06T07:33:41;Wyoming;true;true
6;2022-02-06T11:17:43;53859;Iceland;Refined;Facilitator;2022-02-06T17:10:17;didactic RSS;true;false
7;2022-02-07T04:02:53;30564;relationships Cheese Yemen;copying Account;Uganda;2022-02-06T08:44:55;District Fish Iran;true;false
8;2022-02-06T06:02:58;89054;Grass-roots;cutting-edge Chilean;hack;2022-02-06T23:19:44;tan;false;false
9;2022-02-06T17:12:55;96787;methodologies;violet orchestration Producer;AI Refined Account;2022-02-06T16:27:41;SMS;false;false
10;2022-02-06T22:13:37;43538;Tanzania Fresh Dollar;copying;ivory Cambridgeshire;2022-02-07T02:18:04;Senior migration;true;false
